2024-08-21 00:17:32 link_arena = None
2024-08-21 00:17:36 link_arena = Point(x=428, y=166)
2024-08-21 00:17:37 безоружен
2024-08-21 00:17:39 ожидание боя
2024-08-21 00:21:04 in_battl = Point(x=312, y=588)
2024-08-21 00:21:04 move_to_click
2024-08-21 00:21:06 ожидание пропустить бой
2024-08-21 00:21:10 in_battle
2024-08-21 00:21:10 skip_battle = Point(x=426, y=111)
2024-08-21 00:21:10 пропускаем бой
2024-08-21 00:21:10 move_to_click
2024-08-21 00:21:13 ожидание close
2024-08-21 00:21:13 ожидание close
2024-08-21 00:21:14 ожидание close
2024-08-21 00:21:15 ожидание close
2024-08-21 00:21:17 закрыть результат боя
2024-08-21 00:21:17 move_to_click
2024-08-21 00:21:20 arena.battle_in_arena
2024-08-21 00:21:20 quantity_battles = 131
2024-08-21 00:21:21 go_in_hall_glory
2024-08-21 00:21:23 link_in_hall_glory = None
2024-08-21 00:21:23 hall_glory = Point(x=768, y=111)
2024-08-21 00:21:23 close = Point(x=429, y=531)
2024-08-21 00:21:23 fun.push_close
2024-08-21 00:21:24 close = Point(x=429, y=531)
2024-08-21 00:21:24 move_to_click
2024-08-21 00:21:30 hall_glory = Point(x=768, y=111)
2024-08-21 00:21:30 move_to_click
2024-08-21 00:21:40 link_in_hall_glory = , Point(x=424, y=158)
2024-08-21 00:21:40 hero_arena = , None
2024-08-21 00:21:40 поиск противника
2024-08-21 00:21:41 move_to_click
2024-08-21 00:21:44 move_to_click
2024-08-21 00:21:48 move_to_click
2024-08-21 00:21:51 move_to_click
2024-08-21 00:21:54 move_to_click
2024-08-21 00:21:59 move_to_click
2024-08-21 00:22:02 move_to_click
2024-08-21 00:22:06 move_to_click
2024-08-21 00:22:09 move_to_click
2024-08-21 00:22:14 move_to_click
2024-08-21 00:22:18 move_to_click
2024-08-21 00:22:21 move_to_click
2024-08-21 00:22:24 move_to_click
2024-08-21 00:22:28 move_to_click
2024-08-21 00:22:31 move_to_click
2024-08-21 00:22:36 move_to_click
2024-08-21 00:22:39 move_to_click
2024-08-21 00:22:42  it = 17
2024-08-21 00:22:42 attack = Point(x=683, y=301)
2024-08-21 00:22:42 move_to_click
2024-08-21 00:22:44 link_arena = None
2024-08-21 00:22:48 link_arena = Point(x=428, y=166)
2024-08-21 00:22:49 безоружен
2024-08-21 00:22:50 ожидание боя
2024-08-21 00:26:10 in_battl = Point(x=312, y=588)
2024-08-21 00:26:10 move_to_click
2024-08-21 00:26:13 ожидание пропустить бой
2024-08-21 00:26:17 in_battle
2024-08-21 00:26:18 skip_battle = Point(x=426, y=111)
2024-08-21 00:26:18 пропускаем бой
2024-08-21 00:26:18 move_to_click
2024-08-21 00:26:20 ожидание close
2024-08-21 00:26:21 ожидание close
2024-08-21 00:26:22 ожидание close
2024-08-21 00:26:23 ожидание close
2024-08-21 00:26:25 закрыть результат боя
2024-08-21 00:26:25 move_to_click
2024-08-21 00:26:28 arena.battle_in_arena
2024-08-21 00:26:28 quantity_battles = 132
2024-08-21 00:26:29 go_in_hall_glory
2024-08-21 00:26:31 link_in_hall_glory = None
2024-08-21 00:26:31 hall_glory = Point(x=768, y=111)
2024-08-21 00:26:31 close = None
2024-08-21 00:26:31 hall_glory = Point(x=768, y=111)
2024-08-21 00:26:31 move_to_click
2024-08-21 00:26:40 link_in_hall_glory = , Point(x=424, y=158)
2024-08-21 00:26:41 hero_arena = , None
2024-08-21 00:26:41 поиск противника
2024-08-21 00:26:41 move_to_click
2024-08-21 00:26:45 move_to_click
2024-08-21 00:26:48 move_to_click
2024-08-21 00:26:51 move_to_click
2024-08-21 00:26:55 move_to_click
2024-08-21 00:26:58 move_to_click
2024-08-21 00:27:02 move_to_click
2024-08-21 00:27:05 move_to_click
2024-08-21 00:27:08 move_to_click
2024-08-21 00:27:12 move_to_click
2024-08-21 00:27:15 move_to_click
2024-08-21 00:27:19 move_to_click
2024-08-21 00:27:22 move_to_click
2024-08-21 00:27:27 move_to_click
2024-08-21 00:27:31 move_to_click
2024-08-21 00:27:34 move_to_click
2024-08-21 00:27:37 move_to_click
2024-08-21 00:27:40  it = 17
2024-08-21 00:27:41 attack = Point(x=683, y=301)
2024-08-21 00:27:41 move_to_click
2024-08-21 00:27:43 link_arena = None
2024-08-21 00:27:46 link_arena = Point(x=428, y=165)
2024-08-21 00:27:47 безоружен
2024-08-21 00:27:48 ожидание боя
2024-08-21 00:31:16 in_battl = Point(x=312, y=588)
2024-08-21 00:31:16 move_to_click
2024-08-21 00:31:19 ожидание пропустить бой
2024-08-21 00:31:24 in_battle
2024-08-21 00:31:24 skip_battle = Point(x=426, y=111)
2024-08-21 00:31:24 пропускаем бой
2024-08-21 00:31:24 move_to_click
2024-08-21 00:31:27 ожидание close
2024-08-21 00:31:27 ожидание close
2024-08-21 00:31:29 ожидание close
2024-08-21 00:31:30 ожидание close
2024-08-21 00:31:32 закрыть результат боя
2024-08-21 00:31:32 move_to_click
2024-08-21 00:31:34 arena.battle_in_arena
2024-08-21 00:31:34 quantity_battles = 133
2024-08-21 00:31:35 go_in_hall_glory
2024-08-21 00:31:37 link_in_hall_glory = None
2024-08-21 00:31:37 hall_glory = Point(x=768, y=111)
