2024-07-12 08:11:06 move_to_click
2024-07-12 08:11:08 move_to_click
2024-07-12 08:11:11 move_to_click
2024-07-12 08:11:13 move_to_click
2024-07-12 08:11:16 move_to_click
2024-07-12 08:11:18 move_to_click
2024-07-12 08:11:20 move_to_click
2024-07-12 08:11:22  it = 18
2024-07-12 08:11:22 attack = Point(x=643, y=313)
2024-07-12 08:11:22 move_to_click
2024-07-12 08:11:24 link_arena = None
2024-07-12 08:11:25 link_arena = Point(x=388, y=174)
2024-07-12 08:11:25 безоружен
2024-07-12 08:11:26 ожидание боя
2024-07-12 08:15:25 in_battl = Point(x=272, y=598)
2024-07-12 08:15:25 move_to_click
2024-07-12 08:15:27 ожидание пропустить бой
2024-07-12 08:15:30 in_battle
2024-07-12 08:15:30 skip_battle = Point(x=386, y=121)
2024-07-12 08:15:30 пропускаем бой
2024-07-12 08:15:30 move_to_click
2024-07-12 08:15:32 ожидание close
2024-07-12 08:15:33 ожидание close
2024-07-12 08:15:33 ожидание close
2024-07-12 08:15:34 ожидание close
2024-07-12 08:15:34 ожидание close
2024-07-12 08:15:35 закрыть результат боя
2024-07-12 08:15:35 move_to_click
2024-07-12 08:15:38 arena.battle_in_arena
2024-07-12 08:15:38 quantity_battles = 7
2024-07-12 08:15:38 go_in_hall_glory
2024-07-12 08:15:39 link_in_hall_glory = None
2024-07-12 08:15:39 hall_glory = Point(x=728, y=121)
2024-07-12 08:15:39 close = None
2024-07-12 08:15:39 hall_glory = Point(x=728, y=121)
2024-07-12 08:15:39 move_to_click
2024-07-12 08:15:45 link_in_hall_glory = , Point(x=384, y=168)
2024-07-12 08:15:45 hero_arena = , None
2024-07-12 08:15:45 поиск противника
2024-07-12 08:15:45 move_to_click
2024-07-12 08:15:48 move_to_click
2024-07-12 08:15:50 move_to_click
2024-07-12 08:15:52 move_to_click
2024-07-12 08:15:55 move_to_click
2024-07-12 08:15:57 move_to_click
2024-07-12 08:15:59 move_to_click
2024-07-12 08:16:02 move_to_click
